H2,CO2,CH4,CO,C2H6     ,C2H4     ,C3H8     ,C3H6     ,C2H2     ,pC3H4,iC4H10,nC4H10,C4H8-1,iC4H8,C4H8-2,aC3H4,C4H6-13,CH2O,H2O,CH3OH,CH3CHO,C3H6O-enol2,nC4H8O,nC4H10O,benzene,C7H8,C2H5OH,C3H4O,C3H4O-enone,C3H6O,C4H6O(717),C3H6O-enol
0.000654779,5.32E-05,5.98E-03,3.87E-03,1.24E-02,1.34E-02,6.51E-04,1.24E-02,4.61E-06,7.49E-06,1.02E-06,8.84E-05,8.64E-03,1.30E-05,6.99E-04,2.95E-06,1.21E-04,7.73E-03,7.38E-03,5.51E-03,2.90E-02,1.94E-03,5.06E-03,8.82E-01,7.99E-06,3.81E-05,7.49E-05,2.84E-05,0.00E+00,1.84E-04,1.38E-04,3.30E-04
0.000695755,4.85E-05,5.95E-03,3.55E-03,1.26E-02,1.42E-02,6.49E-04,1.35E-02,5.08E-06,8.47E-06,6.35E-07,1.04E-04,1.02E-02,1.33E-05,7.02E-04,3.16E-06,1.36E-04,8.05E-03,7.75E-03,5.49E-03,2.89E-02,1.93E-03,5.04E-03,8.78E-01,7.96E-06,3.79E-05,7.46E-05,2.82E-05,0.00E+00,1.83E-04,1.38E-04,3.28E-04
0.00066896,4.63E-05,5.94E-03,3.61E-03,1.28E-02,1.40E-02,7.19E-04,1.39E-02,5.75E-06,8.16E-06,6.69E-07,1.06E-04,1.09E-02,1.24E-05,7.35E-04,2.88E-06,1.49E-04,8.75E-03,7.99E-03,5.47E-03,2.88E-02,1.93E-03,5.03E-03,8.76E-01,7.94E-06,3.78E-05,7.44E-05,2.82E-05,0.00E+00,1.83E-04,1.37E-04,3.28E-04
0.001760102,2.65E-04,1.55E-02,1.29E-02,2.45E-02,3.45E-02,1.38E-03,3.22E-02,6.22E-05,5.02E-05,1.22E-05,3.61E-04,2.55E-02,1.38E-03,3.45E-03,3.28E-05,1.08E-03,1.63E-02,1.98E-02,1.21E-02,5.72E-02,3.79E-03,8.02E-03,7.21E-01,6.08E-05,1.98E-04,4.66E-04,3.42E-04,0.00E+00,5.10E-04,2.02E-04,7.96E-04
0.001771542,1.63E-04,1.56E-02,1.34E-02,2.52E-02,3.49E-02,1.45E-03,3.21E-02,7.09E-05,4.66E-05,8.39E-06,2.69E-04,2.19E-02,6.02E-04,1.96E-03,2.66E-05,8.46E-04,1.65E-02,1.79E-02,1.22E-02,5.76E-02,3.82E-03,8.08E-03,7.26E-01,6.13E-05,2.00E-04,4.69E-04,3.44E-04,0.00E+00,5.14E-04,2.03E-04,8.02E-04
0.001777413,1.38E-04,1.56E-02,1.35E-02,2.55E-02,3.51E-02,1.48E-03,3.21E-02,1.73E-05,4.55E-05,7.24E-06,2.58E-04,2.09E-02,4.82E-04,1.65E-03,2.25E-05,8.07E-04,1.63E-02,1.80E-02,1.22E-02,5.77E-02,3.82E-03,8.09E-03,7.27E-01,6.13E-05,2.00E-04,4.70E-04,3.45E-04,0.00E+00,5.15E-04,2.04E-04,8.03E-04
0.002709398,1.71E-04,2.33E-02,2.15E-02,3.43E-02,5.18E-02,2.06E-03,4.55E-02,6.39E-05,6.99E-05,1.07E-05,3.35E-04,2.71E-02,5.77E-04,2.07E-03,7.99E-05,1.19E-03,2.20E-02,2.57E-02,1.43E-02,7.19E-02,4.61E-03,6.16E-03,6.33E-01,6.24E-05,3.43E-04,5.02E-04,4.53E-04,0.00E+00,7.54E-04,3.27E-04,1.28E-03
0.002623696,1.32E-04,2.36E-02,2.37E-02,3.20E-02,5.02E-02,2.03E-03,4.39E-02,6.62E-05,7.56E-05,1.18E-05,3.37E-04,2.49E-02,3.56E-04,2.11E-03,4.68E-05,1.57E-03,2.02E-02,2.32E-02,1.45E-02,7.28E-02,4.67E-03,6.24E-03,6.41E-01,6.32E-05,3.48E-04,5.09E-04,4.59E-04,0.00E+00,7.64E-04,3.31E-04,1.29E-03
0.002655396,1.17E-04,2.36E-02,2.41E-02,3.16E-02,4.99E-02,2.05E-03,4.40E-02,7.20E-05,7.72E-05,1.18E-05,3.36E-04,2.49E-02,3.34E-04,2.16E-03,4.97E-05,1.68E-03,2.03E-02,2.34E-02,1.45E-02,7.28E-02,4.67E-03,6.23E-03,6.41E-01,6.32E-05,3.47E-04,5.09E-04,4.59E-04,0.00E+00,7.64E-04,3.31E-04,1.29E-03
0.004803866,2.09E-04,4.71E-02,5.48E-02,5.00E-02,8.99E-02,3.68E-03,7.53E-02,2.01E-04,1.58E-04,3.16E-05,5.78E-04,3.47E-02,5.23E-04,4.03E-03,1.37E-04,4.02E-03,2.69E-02,4.05E-02,1.93E-02,8.53E-02,5.28E-03,5.18E-03,4.33E-01,3.69E-04,4.74E-04,3.69E-04,1.38E-04,0.00E+00,1.16E-03,4.31E-04,1.50E-03
0.004602501,1.93E-04,4.72E-02,5.46E-02,5.12E-02,8.75E-02,3.72E-03,7.53E-02,1.91E-04,1.56E-04,3.22E-05,5.62E-04,3.44E-02,7.14E-04,4.33E-03,1.33E-04,4.08E-03,2.79E-02,4.00E-02,1.94E-02,8.54E-02,5.29E-03,5.18E-03,4.34E-01,3.70E-04,4.74E-04,3.70E-04,1.38E-04,0.00E+00,1.16E-03,4.32E-04,1.50E-03
0.004735176,1.89E-04,4.70E-02,5.40E-02,5.23E-02,8.92E-02,3.77E-03,7.45E-02,2.01E-04,1.58E-04,3.87E-05,5.73E-04,3.53E-02,7.46E-04,4.09E-03,1.25E-04,3.68E-03,2.86E-02,3.97E-02,1.93E-02,8.51E-02,5.26E-03,5.16E-03,4.32E-01,3.69E-04,4.72E-04,3.68E-04,1.38E-04,0.00E+00,1.15E-03,4.30E-04,1.50E-03
0.006045085,2.93E-04,6.43E-02,8.03E-02,5.37E-02,1.12E-01,4.29E-03,8.56E-02,3.98E-04,2.19E-04,4.62E-05,6.73E-04,3.40E-02,1.26E-03,5.31E-03,2.69E-04,6.62E-03,2.67E-02,4.73E-02,1.99E-02,8.80E-02,3.33E-03,4.37E-03,3.38E-01,8.20E-04,4.33E-04,3.63E-04,1.61E-04,0.00E+00,1.26E-03,4.86E-04,1.63E-03
0.00603659,2.68E-04,6.40E-02,8.02E-02,5.47E-02,1.11E-01,4.43E-03,8.68E-02,3.76E-04,2.15E-04,4.69E-05,6.91E-04,3.45E-02,1.14E-03,5.46E-03,2.63E-04,6.65E-03,2.39E-02,4.98E-02,1.98E-02,8.76E-02,3.32E-03,4.36E-03,3.37E-01,8.17E-04,4.31E-04,3.62E-04,1.61E-04,0.00E+00,1.25E-03,4.85E-04,1.63E-03
0.006078086,2.62E-04,6.36E-02,7.94E-02,5.56E-02,1.12E-01,4.49E-03,8.68E-02,3.70E-04,2.12E-04,4.36E-05,6.90E-04,3.48E-02,1.12E-03,5.47E-03,2.48E-04,6.40E-03,2.93E-02,4.71E-02,1.97E-02,8.71E-02,3.30E-03,4.33E-03,3.35E-01,8.12E-04,4.29E-04,3.59E-04,1.60E-04,0.00E+00,1.24E-03,4.82E-04,1.62E-03
0.007950792,3.95E-04,8.66E-02,1.13E-01,5.86E-02,1.43E-01,4.95E-03,9.75E-02,6.74E-04,3.13E-04,8.20E-05,7.28E-04,3.04E-02,1.39E-03,5.99E-03,4.53E-04,9.82E-03,2.62E-02,5.82E-02,1.93E-02,7.66E-02,3.47E-03,3.25E-03,2.30E-01,1.92E-03,2.23E-04,6.03E-04,2.13E-04,0.00E+00,1.24E-03,2.90E-04,1.59E-03
0.007802788,4.21E-04,8.74E-02,1.15E-01,5.83E-02,1.42E-01,5.03E-03,9.52E-02,6.98E-04,3.13E-04,8.63E-05,7.32E-04,2.98E-02,1.50E-03,6.14E-03,4.55E-04,9.91E-03,2.74E-02,5.58E-02,1.94E-02,7.73E-02,3.50E-03,3.28E-03,2.32E-01,1.94E-03,2.25E-04,6.08E-04,2.15E-04,0.00E+00,1.26E-03,2.93E-04,1.60E-03
0.007616371,5.28E-04,8.18E-02,1.13E-01,5.01E-02,1.33E-01,4.32E-03,8.52E-02,6.96E-04,2.82E-04,7.14E-05,6.18E-04,2.36E-02,5.47E-04,6.05E-03,4.59E-04,8.98E-03,2.18E-02,5.06E-02,2.17E-02,9.00E-02,5.75E-03,4.01E-03,2.62E-01,2.68E-03,1.17E-03,6.03E-04,1.18E-04,0.00E+00,1.55E-03,5.72E-04,1.48E-03
0.00752776,4.69E-04,8.11E-02,1.11E-01,5.12E-02,1.33E-01,4.40E-03,8.74E-02,7.15E-04,2.91E-04,7.49E-05,6.37E-04,2.32E-02,5.61E-04,5.85E-03,4.71E-04,9.74E-03,2.33E-02,5.22E-02,2.15E-02,8.92E-02,5.70E-03,3.97E-03,2.59E-01,2.66E-03,1.16E-03,5.97E-04,1.17E-04,0.00E+00,1.54E-03,5.67E-04,1.46E-03
0.007608828,4.68E-04,8.13E-02,1.11E-01,5.12E-02,1.33E-01,4.39E-03,8.68E-02,6.92E-04,2.78E-04,6.81E-05,6.27E-04,2.32E-02,5.59E-04,5.92E-03,4.54E-04,9.49E-03,2.27E-02,5.17E-02,2.16E-02,8.94E-02,5.71E-03,3.98E-03,2.60E-01,2.66E-03,1.16E-03,5.99E-04,1.17E-04,0.00E+00,1.54E-03,5.68E-04,1.47E-03
0.013242292,2.73E-03,1.08E-01,1.43E-01,4.96E-02,1.75E-01,4.65E-03,1.01E-01,1.07E-03,4.71E-04,9.41E-05,6.66E-04,2.37E-02,7.26E-04,7.85E-03,7.59E-04,1.58E-02,2.11E-02,8.90E-02,1.37E-02,5.72E-02,3.80E-03,3.08E-03,1.36E-01,4.86E-03,1.40E-03,5.43E-04,7.62E-05,0.00E+00,7.83E-04,2.94E-04,7.27E-04
0.013314621,1.80E-03,1.11E-01,1.48E-01,5.02E-02,1.79E-01,4.71E-03,9.75E-02,1.19E-03,4.52E-04,9.12E-05,6.30E-04,1.97E-02,7.33E-04,6.37E-03,8.03E-04,1.50E-02,2.18E-02,7.97E-02,1.40E-02,5.88E-02,3.91E-03,3.16E-03,1.39E-01,4.99E-03,1.44E-03,5.58E-04,7.82E-05,0.00E+00,8.04E-04,3.02E-04,7.47E-04
0.013251845,1.50E-03,1.12E-01,1.49E-01,5.12E-02,1.81E-01,4.72E-03,9.71E-02,1.29E-03,4.37E-04,8.78E-05,6.28E-04,1.88E-02,7.41E-04,5.84E-03,8.29E-04,1.48E-02,2.01E-02,7.92E-02,1.41E-02,5.90E-02,3.92E-03,3.17E-03,1.40E-01,5.01E-03,1.45E-03,5.60E-04,7.85E-05,0.00E+00,8.07E-04,3.03E-04,7.50E-04
0.015940768,1.72E-03,1.37E-01,1.83E-01,4.95E-02,2.17E-01,4.28E-03,8.83E-02,2.33E-03,5.81E-04,1.01E-04,5.12E-04,1.20E-02,8.36E-04,4.73E-03,1.21E-03,1.76E-02,1.54E-02,8.93E-02,1.25E-02,3.82E-02,1.22E-03,9.26E-04,6.50E-02,1.22E-02,2.85E-03,3.16E-04,1.36E-04,0.00E+00,5.81E-04,1.09E-04,6.13E-04
0.016177855,1.57E-03,1.35E-01,1.81E-01,4.99E-02,2.22E-01,4.49E-03,9.49E-02,2.41E-03,5.69E-04,6.02E-05,5.65E-04,1.43E-02,8.45E-04,4.95E-03,1.25E-03,1.82E-02,2.00E-02,7.65E-02,1.22E-02,3.75E-02,1.20E-03,9.09E-04,6.38E-02,1.20E-02,2.80E-03,3.11E-04,1.33E-04,0.00E+00,5.70E-04,1.07E-04,6.02E-04
0.015906118,1.43E-03,1.36E-01,1.82E-01,5.01E-02,2.19E-01,4.35E-03,9.24E-02,2.43E-03,6.02E-04,9.28E-05,5.39E-04,1.27E-02,8.62E-04,4.68E-03,1.27E-03,1.83E-02,1.58E-02,8.32E-02,1.24E-02,3.79E-02,1.21E-03,9.17E-04,6.44E-02,1.21E-02,2.82E-03,3.14E-04,1.34E-04,0.00E+00,5.76E-04,1.08E-04,6.08E-04
